index,country,population,area,density
1,Afghanistan,38928346,652860,60
2,Albania,2877797,27400,105
3,Algeria,43851044,2381740,18
4,Andorra,77265,470,164
5,Angola,32866272,1246700,26
6,Antigua and Barbuda,97929,440,223
7,Argentina,45195774,2736690,17
8,Armenia,2963243,28470,104
9,Australia,25499884,7682300,3
10,Austria,9006398,82409,109
11,Azerbaijan,10139177,82658,123
12,Bahamas,393244,10010,39
13,Bahrain,1701575,760,2239
14,Bangladesh,164689383,130170,1265
15,Barbados,287375,430,668
16,Belarus,9449323,202910,47
17,Belgium,11589623,30280,383
18,Belize,397628,22810,17
19,Benin,12123200,112760,108
20,Bhutan,771608,38117,20
21,Bolivia,11673021,1083300,11
22,Bosnia and Herzegovina,3280819,51000,64
23,Botswana,2351627,566730,4
24,Brazil,212559417,8358140,25
25,Brunei,437479,5270,83
26,Bulgaria,6948445,108560,64
27,Burkina Faso,20903273,273600,76
28,Burundi,11890784,25680,463
29,Côte d'Ivoire,26378274,318000,83
30,Cabo Verde,555987,4030,138
31,Cambodia,16718965,176520,95
32,Cameroon,26545863,472710,56
33,Canada,37742154,9093510,4
34,Central African Republic,4829767,622980,8
35,Chad,16425864,1259200,13
36,Chile,19116201,743532,26
37,China,1439323776,9388211,153
38,Colombia,50882891,1109500,46
39,Comoros,869601,1861,467
40,Congo (Congo-Brazzaville),5518087,341500,16
41,Costa Rica,5094118,51060,100
42,Croatia,4105267,55960,73
43,Cuba,11326616,106440,106
44,Cyprus,1207359,9240,131
45,Czechia (Czech Republic),10708981,77240,139
46,Democratic Republic of the Congo,89561403,2267050,40
47,Denmark,5792202,42430,137
48,Djibouti,988000,23180,43
49,Dominica,71986,750,96
50,Dominican Republic,10847910,48320,225
51,Ecuador,17643054,248360,71
52,Egypt,102334404,995450,103
53,El Salvador,6486205,20720,313
54,Equatorial Guinea,1402985,28050,50
55,Eritrea,3546421,101000,35
56,Estonia,1326535,42390,31
57,Eswatini (fmr. "Swaziland"),1160164,17200,67
58,Ethiopia,114963588,1000000,115
59,Fiji,896445,18270,49
60,Finland,5540720,303890,18
61,France,65273511,547557,119
62,Gabon,2225734,257670,9
63,Gambia,2416668,10120,239
64,Georgia,3989167,69490,57
65,Germany,83783942,348560,240
66,Ghana,31072940,227540,137
67,Greece,10423054,128900,81
68,Grenada,112523,340,331
69,Guatemala,17915568,107160,167
70,Guinea,13132795,245720,53
71,Guinea-Bissau,1968001,28120,70
72,Guyana,786552,196850,4
73,Haiti,11402528,27560,414
74,Holy See,801,0,2003
75,Honduras,9904607,111890,89
76,Hungary,9660351,90530,107
77,Iceland,341243,100250,3
78,India,1380004385,2973190,464
79,Indonesia,273523615,1811570,151
80,Iran,83992949,1628550,52
81,Iraq,40222493,434320,93
82,Ireland,4937786,68890,72
83,Israel,8655535,21640,400
84,Italy,60461826,294140,206
85,Jamaica,2961167,10830,273
86,Japan,126476461,364555,347
87,Jordan,10203134,88780,115
88,Kazakhstan,18776707,2699700,7
89,Kenya,53771296,569140,94
90,Kiribati,119449,810,147
91,Kuwait,4270571,17820,240
92,Kyrgyzstan,6524195,191800,34
93,Laos,7275560,230800,32
94,Latvia,1886198,62200,30
95,Lebanon,6825445,10230,667
96,Lesotho,2142249,30360,71
97,Liberia,5057681,96320,53
98,Libya,6871292,1759540,4
99,Liechtenstein,38128,160,238
100,Lithuania,2722289,62674,43
101,Luxembourg,625978,2590,242
102,Madagascar,27691018,581795,48
103,Malawi,19129952,94280,203
104,Malaysia,32365999,328550,99
105,Maldives,540544,300,1802
106,Mali,20250833,1220190,17
107,Malta,441543,320,1380
108,Marshall Islands,59190,180,329
109,Mauritania,4649658,1030700,5
110,Mauritius,1271768,2030,626
111,Mexico,128932753,1943950,66
112,Micronesia,115023,700,164
113,Moldova,4033963,32850,123
114,Monaco,39242,1,26337
115,Mongolia,3278290,1553560,2
116,Montenegro,628066,13450,47
117,Morocco,36910560,446300,83
118,Mozambique,31255435,786380,40
119,Myanmar (formerly Burma),54409800,653290,83
120,Namibia,2540905,823290,3
121,Nauru,10824,20,541
122,Nepal,29136808,143350,203
123,Netherlands,17134872,33720,508
124,New Zealand,4822233,263310,18
125,Nicaragua,6624554,120340,55
126,Niger,24206644,1266700,19
127,Nigeria,206139589,910770,226
128,North Korea,25778816,120410,214
129,North Macedonia,2083374,25220,83
130,Norway,5421241,365268,15
131,Oman,5106626,309500,16
132,Pakistan,220892340,770880,287
133,Palau,18094,460,39
134,Palestine State,5101414,6020,847
135,Panama,4314767,74340,58
136,Papua New Guinea,8947024,452860,20
137,Paraguay,7132538,397300,18
138,Peru,32971854,1280000,26
139,Philippines,109581078,298170,368
140,Poland,37846611,306230,124
141,Portugal,10196709,91590,111
142,Qatar,2881053,11610,248
143,Romania,19237691,230170,84
144,Russia,145934462,16376870,9
145,Rwanda,12952218,24670,525
146,Saint Kitts and Nevis,53199,260,205
147,Saint Lucia,183627,610,301
148,Saint Vincent and the Grenadines,110940,390,284
149,Samoa,198414,2830,70
150,San Marino,33931,60,566
151,Sao Tome and Principe,219159,960,228
152,Saudi Arabia,34813871,2149690,16
153,Senegal,16743927,192530,87
154,Serbia,8737371,87460,100
155,Seychelles,98347,460,214
156,Sierra Leone,7976983,72180,111
157,Singapore,5850342,700,8358
158,Slovakia,5459642,48088,114
159,Slovenia,2078938,20140,103
160,Solomon Islands,686884,27990,25
161,Somalia,15893222,627340,25
162,South Africa,59308690,1213090,49
163,South Korea,51269185,97230,527
164,South Sudan,11193725,610952,18
165,Spain,46754778,498800,94
166,Sri Lanka,21413249,62710,341
167,Sudan,43849260,1765048,25
168,Suriname,586632,156000,4
169,Sweden,10099265,410340,25
170,Switzerland,8654622,39516,219
171,Syria,17500658,183630,95
172,Tajikistan,9537645,139960,68
173,Tanzania,59734218,885800,67
174,Thailand,69799978,510890,137
175,Timor-Leste,1318445,14870,89
176,Togo,8278724,54390,152
177,Tonga,105695,720,147
178,Trinidad and Tobago,1399488,5130,273
179,Tunisia,11818619,155360,76
180,Turkey,84339067,769630,110
181,Turkmenistan,6031200,469930,13
182,Tuvalu,11792,30,393
183,Uganda,45741007,199810,229
184,Ukraine,43733762,579320,75
185,United Arab Emirates,9890402,83600,118
186,United Kingdom,67886011,241930,281
187,United States of America,331002651,9147420,36
188,Uruguay,3473730,175020,20
189,Uzbekistan,33469203,425400,79
190,Vanuatu,307145,12190,25
191,Venezuela,28435940,882050,32
192,Vietnam,97338579,310070,314
193,Yemen,29825964,527970,56
194,Zambia,18383955,743390,25
195,Zimbabwe,14862924,386850,38
